S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
8555,Not difficult at all,1-25%,2,League of Legends,PC,14,I play for fun,winning,Male,25,Employed,Bachelor (or equivalent),USA,USA
8556,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,having fun,Male,18,Student at school,None,Bulgaria,Bulgaria
8557,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
8558,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,having fun,Male,22,Employed,High school diploma (or equivalent),USA,USA
8559,Not difficult at all,1-25%,3,World of Warcraft,PC,35,I play for fun,having fun,Male,19,Student at college / university,None,USA,USA
8560,Somewhat difficult,26-50%,2,Other,PC,3,I play for fun,having fun,Male,28,Student at college / university,Master (or equivalent),Croatia,Sweden
8561,Somewhat difficult,26-50%,3,League of Legends,PC,10,I play for fun,improving,Male,20,Student at college / university,Bachelor (or equivalent),USA,USA
8562,Very difficult,51-75%,1,League of Legends,PC,10,I play for fun,having fun,Female,30,Employed,Bachelor (or equivalent),USA,USA
8563,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,improving,Male,25,Employed,Bachelor (or equivalent),USA,USA
8564,Not difficult at all,1-25%,6,League of Legends,PC,21,I play for fun,having fun,Male,27,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
8565,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8566,Not difficult at all,1-25%,6,Starcraft 2,PC,21,I play for fun,improving,Male,18,Student at school,None,Germany,Germany
8568,Not difficult at all,1-25%,1,League of Legends,PC,35,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
8569,Not difficult at all,1-25%,2,League of Legends,PC,50,I play for fun,having fun,Male,18,Student at school,None,UK,UK
8570,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
8571,Not difficult at all,1-25%,3,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,None,Austria,Austria
8572,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,having fun,Male,24,Student at college / university,Bachelor (or equivalent),USA,USA
8573,Not difficult at all,1-25%,1,League of Legends,PC,15,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
8574,Somewhat difficult,26-50%,7,League of Legends,PC,20,I play for fun,improving,Male,21,Employed,High school diploma (or equivalent),Hungary,Hungary
8575,Not difficult at all,1-25%,2,League of Legends,PC,16,I play for fun,having fun,Male,20,Student at college / university,None,USA,USA
8576,NA,0,5,League of Legends,PC,24,I play for fun,improving,Male,20,Student at school,None,Belgium,Belgium
8577,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Mexico,Canada
8578,Not difficult at all,1-25%,6,League of Legends,PC,25,I play for fun,having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8579,Somewhat difficult,26-50%,2,Other,PC,6,I play for fun,relaxing,Male,18,Student at school,None,Latvia,Latvia
8580,Not difficult at all,1-25%,4,League of Legends,PC,17,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Hungary,Hungary
8581,Not difficult at all,1-25%,1,League of Legends,PC,17,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Germany
8582,Somewhat difficult,26-50%,6,Guild Wars 2,PC,14,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Costa Rica,USA
8583,Not difficult at all,1-25%,2,League of Legends,PC,18,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
8584,Somewhat difficult,26-50%,3,Counter Strike,PC,42,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Ireland,Ireland
8585,Somewhat difficult,26-50%,2,League of Legends,PC,30,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Romania,Romania
8586,Not difficult at all,1-25%,5,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at school,None,Czech Republic,Czech Republic
8587,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
8588,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
8589,Not difficult at all,1-25%,6,League of Legends,PC,21,I play for fun,having fun,Female,21,Student at college / university,Bachelor (or equivalent),USA,USA
8590,Somewhat difficult,26-50%,2,League of Legends,PC,40,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8591,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,having fun,Female,19,Employed,High school diploma (or equivalent),Honduras,USA
8592,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,winning,Male,28,Employed,Master (or equivalent),USA,USA
8593,Somewhat difficult,26-50%,2,League of Legends,PC,21,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
8594,Extremely difficult,76-100%,1,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,None,Canada,Canada
8595,Not difficult at all,1-25%,5,League of Legends,PC,10,I play for fun,having fun,Male,24,Student at college / university,Bachelor (or equivalent),USA,USA
8596,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,improving,Male,26,Student at college / university,Bachelor (or equivalent),Turkey,Turkey
8597,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
8598,Not difficult at all,1-25%,6,League of Legends,PC,4,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
8599,Not difficult at all,1-25%,5,League of Legends,PC,12,I play for fun,having fun,Male,25,Employed,High school diploma (or equivalent),Canada,Canada
8600,Not difficult at all,1-25%,2,League of Legends,PC,4,I play for fun,improving,Male,18,Student at college / university,None,USA,Canada
8601,Not difficult at all,1-25%,3,League of Legends,PC,3,I play for fun,having fun,Male,25,Employed,Bachelor (or equivalent),USA,USA
8602,Not difficult at all,1-25%,1,League of Legends,PC,55,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Unknown
8603,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Venezuela,Venezuela
8604,Somewhat difficult,26-50%,7,Starcraft 2,PC,10,I play for fun,improving,Male,27,Employed,High school diploma (or equivalent),Austria,Austria
8605,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,improving,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Panama,USA
8606,NA,0,1,League of Legends,PC,100,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,19,Student at college / university,None,Sweden,Sweden
8607,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),UK,UK
8608,Not difficult at all,1-25%,5,League of Legends,PC,28,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
8609,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Finland,Finland
8610,Very difficult,51-75%,4,League of Legends,PC,24,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,19,Student at college / university,High school diploma (or equivalent),Russia,USA
8611,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),UK,UK
8612,Not difficult at all,1-25%,6,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Japan,USA
8613,Somewhat difficult,26-50%,1,Other,PC,8,I play for fun,having fun,Male,20,Student at college / university,Bachelor (or equivalent),USA,USA
8614,Somewhat difficult,26-50%,1,League of Legends,PC,21,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),USA,USA
8615,Somewhat difficult,26-50%,2,League of Legends,PC,25,I play for fun,improving,Male,23,Student at college / university,Bachelor (or equivalent),Germany,Germany
8616,Not difficult at all,1-25%,4,League of Legends,PC,40,I play for fun,having fun,Male,20,Employed,Bachelor (or equivalent),Canada,Canada
8617,Very difficult,51-75%,2,League of Legends,PC,25,I play for fun,having fun,Female,25,Employed,High school diploma (or equivalent),UK,UK
8618,Extremely difficult,76-100%,1,League of Legends,PC,50,I play for fun,improving,Female,18,Student at school,None,Unknown,USA
8619,Somewhat difficult,26-50%,1,League of Legends,PC,14,I play for fun,improving,Female,21,Student at college / university,High school diploma (or equivalent),Turkey,USA
8620,Not difficult at all,1-25%,5,League of Legends,PC,35,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
8621,Not difficult at all,1-25%,7,Other,PC,25,I play for fun,improving,Male,19,Student at college / university,None,UK,UK
8622,NA,0,6,League of Legends,PC,2,I play for fun,improving,Female,18,Student at school,High school diploma (or equivalent),Finland,Finland
8624,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
8625,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),Austria,Austria
8626,Not difficult at all,1-25%,3,Heroes of the Storm,PC,15,I play for fun,having fun,Male,36,Unemployed / between jobs,High school diploma (or equivalent),Austria,Austria
8627,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,winning,Male,18,Student at college / university,Bachelor (or equivalent),Spain,Spain
8628,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,improving,Male,24,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8629,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8630,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,improving,Male,21,Employed,Bachelor (or equivalent),Canada,Canada
8631,Not difficult at all,1-25%,5,League of Legends,PC,20,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),USA,USA
8632,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),USA,USA
8633,Not difficult at all,1-25%,3,League of Legends,PC,15,I play for fun,having fun,Female,20,Student at college / university,Bachelor (or equivalent),France,France
8634,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,having fun,Female,19,Student at college / university,High school diploma (or equivalent),USA,USA
8636,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),Sweden,Sweden
8637,Not difficult at all,1-25%,5,League of Legends,PC,20,I play for fun,having fun,Male,27,Employed,Bachelor (or equivalent),Germany,Germany
8638,Somewhat difficult,26-50%,2,League of Legends,PC,40,I play for fun,improving,Male,18,Employed,High school diploma (or equivalent),UK,UK
8639,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
8640,Not difficult at all,1-25%,3,League of Legends,PC,6,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
8641,Not difficult at all,1-25%,3,League of Legends,PC,25,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
8642,Not difficult at all,1-25%,2,Other,Smartphone / Tablet,35,I play for fun,relaxing,Female,20,Student at college / university,High school diploma (or equivalent),USA,USA
8643,Somewhat difficult,26-50%,2,League of Legends,PC,8,I play for fun,improving,Male,28,Employed,High school diploma (or equivalent),Canada,Canada
8644,Somewhat difficult,26-50%,5,League of Legends,PC,40,I play for fun,improving,Male,18,Student at school,None,USA,USA
8645,NA,0,2,League of Legends,PC,5,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8646,Not difficult at all,1-25%,2,League of Legends,PC,40,I play for fun,improving,Male,18,Employed,High school diploma (or equivalent),Canada,Canada
8647,Not difficult at all,1-25%,4,League of Legends,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
8648,Somewhat difficult,26-50%,6,League of Legends,PC,17,I play for fun,improving,Female,22,Unemployed / between jobs,High school diploma (or equivalent),Canada,Canada
8649,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),USA,USA
8650,Not difficult at all,1-25%,7,Other,PC,6,I play for fun,having fun,Male,25,Employed,Bachelor (or equivalent),USA,USA
8651,Somewhat difficult,26-50%,4,League of Legends,PC,30,I play for fun,improving,Male,20,NA,High school diploma (or equivalent),Russia,Russia
8652,Not difficult at all,1-25%,5,Other,PC,10,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Finland,Finland
8653,Not difficult at all,1-25%,1,League of Legends,PC,28,I play for fun,having fun,Male,19,Unemployed / between jobs,None,Canada,Canada
8654,Not difficult at all,1-25%,6,League of Legends,PC,5,I play for fun,improving,Male,36,Employed,Master (or equivalent),USA,USA
8655,Not difficult at all,1-25%,7,League of Legends,PC,10,I play for fun,winning,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8656,Very difficult,51-75%,1,Counter Strike,PC,7,I play for fun,having fun,Male,23,Unemployed / between jobs,Bachelor (or equivalent),Portugal,Portugal
8657,Somewhat difficult,26-50%,6,League of Legends,PC,15,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
8658,Not difficult at all,1-25%,2,League of Legends,PC,25,I play for fun,improving,Male,26,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
8659,Somewhat difficult,26-50%,2,League of Legends,PC,15,I play for fun,winning,Male,18,Student at school,None,Germany,Germany
8660,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),UK,UK
8661,Not difficult at all,1-25%,2,League of Legends,PC,18,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Hong Kong,USA
8662,Somewhat difficult,26-50%,2,League of Legends,PC,72,I play for fun,improving,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Finland,Finland
8663,Somewhat difficult,26-50%,3,League of Legends,PC,18,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Slovakia,Denmark
8664,Very difficult,51-75%,1,League of Legends,PC,15,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
8665,Somewhat difficult,26-50%,1,League of Legends,PC,10,I play for fun,having fun,Male,20,Employed,High school diploma (or equivalent),UK,UK
8666,Not difficult at all,1-25%,6,League of Legends,PC,20,I play for fun,having fun,Male,23,Student at college / university,Bachelor (or equivalent),Germany,Germany
8667,Somewhat difficult,26-50%,5,League of Legends,PC,30,I play for fun,improving,Male,23,Student at college / university,Bachelor (or equivalent),Netherlands,Netherlands
8668,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,"depends from Time to time ( between winning, improving, and having fun)",Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
8669,Not difficult at all,1-25%,1,League of Legends,PC,22,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
8670,Somewhat difficult,26-50%,2,League of Legends,PC,12,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Poland,Poland
8671,Somewhat difficult,26-50%,1,Counter Strike,PC,80,I play for fun,winning,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8672,Somewhat difficult,26-50%,5,Heroes of the Storm,PC,6,I play for fun,winning,Male,21,Student at college / university,Bachelor (or equivalent),Belgium,Belgium
8673,Somewhat difficult,26-50%,2,League of Legends,PC,40,I earn a living by playing this game,When I'm playing for money - winning. When I'm playing on my own/with friends - it's for fun.,Male,18,Student at school,None,Lithuania,Lithuania
8674,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,having fun,Male,26,Unemployed / between jobs,High school diploma (or equivalent),Australia,Australia
8675,Somewhat difficult,26-50%,1,League of Legends,PC,16,I play for fun,having fun,Male,25,Student at college / university,High school diploma (or equivalent),Unknown,Norway
8676,Not difficult at all,1-25%,3,Counter Strike,PC,20,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),Germany,Germany
8678,Somewhat difficult,26-50%,2,League of Legends,PC,24,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),South Korea,USA
8679,Somewhat difficult,26-50%,1,Counter Strike,PC,50,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,USA
8680,Not difficult at all,1-25%,1,League of Legends,PC,14,I play for fun,winning,Male,21,Unemployed / between jobs,Bachelor (or equivalent),Canada,Canada
8681,Not difficult at all,1-25%,6,Other,PC,18,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),Germany,Germany
8682,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,USA
8683,Somewhat difficult,26-50%,5,League of Legends,PC,10,I play for fun,winning,Male,26,Unemployed / between jobs,Bachelor (or equivalent),USA,USA
8684,Somewhat difficult,26-50%,1,League of Legends,PC,24,I play for fun,having fun,Male,26,Student at college / university,High school diploma (or equivalent),Malaysia,Malaysia
8685,Somewhat difficult,26-50%,3,League of Legends,PC,25,I play for fun,having fun,Male,18,Student at school,None,Netherlands,Netherlands
8686,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,having fun,Male,22,Student at school,Bachelor (or equivalent),USA,USA
8687,Not difficult at all,1-25%,1,League of Legends,PC,16,I play for fun,having fun,Male,23,Student at college / university,Bachelor (or equivalent),Canada,Canada
8688,Not difficult at all,1-25%,5,Counter Strike,PC,15,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Portugal,Portugal
8689,Somewhat difficult,26-50%,1,League of Legends,PC,16,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8690,Not difficult at all,1-25%,3,Starcraft 2,PC,8,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
8691,Very difficult,51-75%,3,League of Legends,PC,10,I play for fun,having fun,Male,21,Unemployed / between jobs,Master (or equivalent),France,France
8692,Somewhat difficult,26-50%,1,League of Legends,PC,25,I play for fun,winning,Male,18,Employed,High school diploma (or equivalent),USA,USA
8693,Not difficult at all,1-25%,2,League of Legends,PC,24,I play for fun,winning,Male,23,Employed,High school diploma (or equivalent),Russia,Russia
8694,Somewhat difficult,26-50%,2,League of Legends,PC,40,I want to make a living out of it. ,winning,Male,24,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8695,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,Bachelor (or equivalent),Netherlands,USA
8696,Very difficult,51-75%,1,League of Legends,PC,78,I play for fun,winning,Male,19,Unemployed / between jobs,High school diploma (or equivalent),UK,UK
8697,NA,0,5,League of Legends,PC,30,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Slovakia,Slovakia
8699,Not difficult at all,1-25%,7,League of Legends,PC,15,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),USA,USA
8700,Not difficult at all,1-25%,2,Starcraft 2,PC,8,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),Denmark,Denmark
8701,Not difficult at all,1-25%,6,League of Legends,PC,20,I play for fun,"All of the above. Winning, improving, relaxing, and having fun.",Male,22,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8702,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
8703,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,winning,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8704,Somewhat difficult,26-50%,2,League of Legends,PC,10,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
8705,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Belgium,Belgium
8706,Extremely difficult,76-100%,1,League of Legends,PC,5,Not even having fun.,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Israel,Israel
8707,Not difficult at all,1-25%,6,League of Legends,PC,18,I play for fun,improving,Female,24,Employed,Bachelor (or equivalent),USA,USA
8708,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,having fun,Male,25,Student at college / university,Bachelor (or equivalent),Netherlands,Netherlands
8709,Not difficult at all,1-25%,5,Other,PC,20,mental health,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8710,Somewhat difficult,26-50%,7,League of Legends,PC,40,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
8711,NA,0,3,League of Legends,PC,21,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Singapore,Singapore
8712,Not difficult at all,1-25%,6,League of Legends,PC,30,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Russia,Germany
8713,Very difficult,51-75%,1,League of Legends,PC,30,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Germany
8714,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
8715,Somewhat difficult,26-50%,1,Starcraft 2,PC,15,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),USA,USA
8717,Somewhat difficult,26-50%,2,League of Legends,PC,35,I play for fun,having fun,Male,32,Unemployed / between jobs,Bachelor (or equivalent),France,France
8718,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,winning,Male,25,Student at school,High school diploma (or equivalent),South Korea,USA
8719,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8720,Somewhat difficult,26-50%,2,League of Legends,PC,25,I play for fun,improving,Male,18,Student at college / university,Bachelor (or equivalent),France,France
8721,Very difficult,51-75%,4,Other,PC,30,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,UK
8722,Not difficult at all,1-25%,1,Other,PC,25,I play for fun,improving,Male,24,Employed,High school diploma (or equivalent),Austria,Austria
8723,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,improving,Male,21,Employed,High school diploma (or equivalent),Canada,Canada
8724,Not difficult at all,1-25%,5,League of Legends,PC,14,I play for fun,having fun,Male,30,Student at college / university,Master (or equivalent),Netherlands,Netherlands
8725,Very difficult,51-75%,1,League of Legends,PC,8,I play for fun,improving,Male,20,Employed,None,USA,USA
8726,NA,0,5,Other,PC,18,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Netherlands,Netherlands
8727,Not difficult at all,1-25%,5,League of Legends,PC,10,I play for fun,winning,Male,18,Student at school,None,USA,USA
8728,Not difficult at all,1-25%,3,League of Legends,PC,18,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Canada,Canada
8729,Somewhat difficult,26-50%,2,Counter Strike,PC,12,I play for fun,improving,Male,18,Student at college / university,None,Lithuania,UK
8730,Somewhat difficult,26-50%,3,Other,PC,17,I play for fun,having fun,Male,18,Student at school,None,Mauritius,Canada
8731,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,improving,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Canada,Canada
8732,Not difficult at all,1-25%,3,League of Legends,PC,14,I play for fun,winning,Male,26,Employed,High school diploma (or equivalent),USA,USA
8733,Somewhat difficult,26-50%,7,League of Legends,PC,40,I play for fun,having fun,Other,19,Student at college / university,High school diploma (or equivalent),Norway,Norway
8734,Not difficult at all,1-25%,6,League of Legends,PC,14,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8735,Not difficult at all,1-25%,4,Diablo 3,PC,30,I play for fun,having fun,Male,18,Student at college / university,None,Poland,Poland
8736,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,winning,Male,31,Employed,Bachelor (or equivalent),Canada,Canada
8737,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,having fun,Male,19,Unemployed / between jobs,None,USA,USA
8738,Somewhat difficult,26-50%,4,League of Legends,PC,16,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
8739,Not difficult at all,1-25%,6,League of Legends,PC,5,I play for fun,improving,Male,18,Employed,None,Switzerland,Switzerland
8741,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at school,None,USA,USA
8742,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,winning,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Greece,Greece
8743,Not difficult at all,1-25%,2,League of Legends,PC,21,I play for fun,having fun,Male,20,Student at college / university,None,Ireland,Ireland
8744,Not difficult at all,1-25%,6,League of Legends,PC,9,I play for fun,helping others,Female,34,Employed,High school diploma (or equivalent),UK,USA
8745,Somewhat difficult,26-50%,2,League of Legends,PC,25,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),USA,USA
8746,Extremely difficult,76-100%,3,League of Legends,PC,30,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),Netherlands,Netherlands
8747,NA,0,2,League of Legends,PC,10,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),China,USA
8748,Not difficult at all,1-25%,5,League of Legends,PC,7,I play for fun,improving,Male,22,Employed,None,Norway,Norway
8749,Somewhat difficult,26-50%,2,League of Legends,PC,60,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
8750,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
8751,NA,0,5,League of Legends,PC,10,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
8752,NA,0,6,League of Legends,PC,30,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Poland,Poland
8753,Very difficult,51-75%,1,League of Legends,PC,20,I play for fun,improving,Male,24,Unemployed / between jobs,Bachelor (or equivalent),Puerto Rico ,Puerto Rico
8754,Not difficult at all,1-25%,2,World of Warcraft,PC,35,I play for fun,winning,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
8755,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,winning,Male,22,Employed,High school diploma (or equivalent),USA,USA
8756,Somewhat difficult,26-50%,4,Other,PC,NA,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),Greece,Greece
8757,Extremely difficult,76-100%,5,Other,PC,15,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
8758,Somewhat difficult,26-50%,2,Starcraft 2,PC,35,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
8759,Somewhat difficult,26-50%,2,League of Legends,PC,16,I play for fun,improving,Other,24,Student at college / university,High school diploma (or equivalent),USA,USA
8760,Somewhat difficult,26-50%,1,Other,PC,40,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),USA,USA
8762,Extremely difficult,76-100%,1,League of Legends,PC,20,I play for fun,improving,Female,21,Student at college / university,High school diploma (or equivalent),USA,USA
8763,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Vietnam,USA
